"GCODE";"Ost";"Nord";"AWGN ID";"Messstelle";"Gewässer";"Parameter";"Jahr";"Datum";"Vorzeichen";"Messwert";"Bestimmungsgrenze";"Dimension";"Medium";"Probeart"
"CXX426";"460.534";"5.481.373";"6.187";"Mannheim, Rhein (CXX426)";"Rhein";"Temperatur";"2014";"07.01.2014";"-";"7,8";"0";"°C";"Oberflaechengewaesser";"Stichprobe"
"CXX426";"460.534";"5.481.373";"6.187";"Mannheim, Rhein (CXX426)";"Rhein";"Temperatur";"2014";"20.01.2014";"-";"8,1";"0";"°C";"Oberflaechengewaesser";"Stichprobe"
"CXX426";"460.534";"5.481.373";"6.187";"Mannheim, Rhein (CXX426)";"Rhein";"Temperatur";"2014";"03.02.2014";"-";"4,3";"0";"°C";"Oberflaechengewaesser";"Stichprobe"
"CXX426";"460.534";"5.481.373";"6.187";"Mannheim, Rhein (CXX426)";"Rhein";"Temperatur";"2014";"17.02.2014";"-";"8";"0";"°C";"Oberflaechengewaesser";"Stichprobe"
"CXX426";"460.534";"5.481.373";"6.187";"Mannheim, Rhein (CXX426)";"Rhein";"Temperatur";"2014";"03.03.2014";"-";"9,7";"0";"°C";"Oberflaechengewaesser";"Stichprobe"
"CXX426";"460.534";"5.481.373";"6.187";"Mannheim, Rhein (CXX426)";"Rhein";"Temperatur";"2014";"17.03.2014";"-";"10,9";"0";"°C";"Oberflaechengewaesser";"Stichprobe"
"CXX426";"460.534";"5.481.373";"6.187";"Mannheim, Rhein (CXX426)";"Rhein";"Temperatur";"2014";"31.03.2014";"-";"13,6";"0";"°C";"Oberflaechengewaesser";"Stichprobe"
"CXX426";"460.534";"5.481.373";"6.187";"Mannheim, Rhein (CXX426)";"Rhein";"Temperatur";"2014";"14.04.2014";"-";"15,2";"0";"°C";"Oberflaechengewaesser";"Stichprobe"
"CXX426";"460.534";"5.481.373";"6.187";"Mannheim, Rhein (CXX426)";"Rhein";"Temperatur";"2014";"28.04.2014";"-";"16,5";"0";"°C";"Oberflaechengewaesser";"Stichprobe"
"CXX426";"460.534";"5.481.373";"6.187";"Mannheim, Rhein (CXX426)";"Rhein";"Temperatur";"2014";"12.05.2014";"-";"15,2";"0";"°C";"Oberflaechengewaesser";"Stichprobe"
"CXX426";"460.534";"5.481.373";"6.187";"Mannheim, Rhein (CXX426)";"Rhein";"Temperatur";"2014";"26.05.2014";"-";"19,3";"0";"°C";"Oberflaechengewaesser";"Stichprobe"
"CXX426";"460.534";"5.481.373";"6.187";"Mannheim, Rhein (CXX426)";"Rhein";"Temperatur";"2014";"10.06.2014";"-";"23,9";"0";"°C";"Oberflaechengewaesser";"Stichprobe"
"CXX426";"460.534";"5.481.373";"6.187";"Mannheim, Rhein (CXX426)";"Rhein";"Temperatur";"2014";"23.06.2014";"-";"22,4";"0";"°C";"Oberflaechengewaesser";"Stichprobe"
"CXX426";"460.534";"5.481.373";"6.187";"Mannheim, Rhein (CXX426)";"Rhein";"Temperatur";"2014";"07.07.2014";"-";"22,3";"0";"°C";"Oberflaechengewaesser";"Stichprobe"
"CXX426";"460.534";"5.481.373";"6.187";"Mannheim, Rhein (CXX426)";"Rhein";"Temperatur";"2014";"21.07.2014";"-";"21,9";"0";"°C";"Oberflaechengewaesser";"Stichprobe"
"CXX426";"460.534";"5.481.373";"6.187";"Mannheim, Rhein (CXX426)";"Rhein";"Temperatur";"2014";"04.08.2014";"-";"21,1";"0";"°C";"Oberflaechengewaesser";"Stichprobe"
"CXX426";"460.534";"5.481.373";"6.187";"Mannheim, Rhein (CXX426)";"Rhein";"Temperatur";"2014";"18.08.2014";"-";"18,8";"0";"°C";"Oberflaechengewaesser";"Stichprobe"
"CXX426";"460.534";"5.481.373";"6.187";"Mannheim, Rhein (CXX426)";"Rhein";"Temperatur";"2014";"01.09.2014";"-";"19,7";"0";"°C";"Oberflaechengewaesser";"Stichprobe"
"CXX426";"460.534";"5.481.373";"6.187";"Mannheim, Rhein (CXX426)";"Rhein";"Temperatur";"2014";"15.09.2014";"-";"20,4";"0";"°C";"Oberflaechengewaesser";"Stichprobe"
"CXX426";"460.534";"5.481.373";"6.187";"Mannheim, Rhein (CXX426)";"Rhein";"Temperatur";"2014";"29.09.2014";"-";"19,6";"0";"°C";"Oberflaechengewaesser";"Stichprobe"
"CXX426";"460.534";"5.481.373";"6.187";"Mannheim, Rhein (CXX426)";"Rhein";"Temperatur";"2014";"13.10.2014";"-";"18,4";"0";"°C";"Oberflaechengewaesser";"Stichprobe"
